k,mean,pct_change
k = 1,74494.0,
k = 2,66243.68421875,11.075141328496251
k = 3,61814.827914886475,6.685703484182048
k = 4,57954.799975585935,6.244501634163657
k = 5,53996.47376220703,6.830023078410052
k = 6,50940.98648422241,5.658679289763546
k = 7,47971.28538696289,5.829689022962503
k = 8,45166.67850036621,5.846428470642739
k = 9,42557.75915878296,5.776203670947588
k = 10,39229.49227478027,7.820587713711447
k = 11,36895.41989715576,5.949789921510218
k = 12,35244.74394271851,4.4739318837905495
k = 13,33741.029277954105,4.26649337333338
k = 14,32741.45054473877,2.9625021957123354
k = 15,31988.932574768067,2.2983647866866574
k = 16,31245.8618649292,2.322899359339603
k = 17,30490.71312942505,2.416795986516662
k = 18,29652.792434539795,2.748117734500022
k = 19,29094.008979034425,1.8844210262453864
k = 20,28385.718925933837,2.4344876418062267
k = 21,27894.083177948,1.731982724371539
k = 22,27171.883556976318,2.5890781796428564
k = 23,26306.8490574646,3.183564723063237
k = 24,25949.450561828613,1.3585758402889114
k = 25,25374.254509887694,2.216602045466909
k = 26,24656.206733093262,2.8298280704744494
k = 27,24718.231469421386,-0.2515583074053085
k = 28,24337.45581410408,1.5404648014092692
k = 29,23563.621246032715,3.1796033816439917
k = 30,23307.82023345947,1.0855759813076737
k = 31,23078.649800415038,0.9832340851653298
k = 32,22763.762339324952,1.3644102398244429
k = 33,22237.685075531004,2.3110295036121387
k = 34,22219.043653411863,0.08382806958469047
k = 35,21981.389464416505,1.0695968409012324
k = 36,21782.63976776123,0.9041725818880186
k = 37,21383.879451446533,1.830633571349194
k = 38,21192.6453298378,0.8942910571626772
k = 39,20793.0524949646,1.8855259862750717
k = 40,20924.727731933595,-0.6332655438680002
