Label,证券代码,营业总收入,现金资产比率,应收类资产比率,固定资产比率,无形资产比率,金融负债比率,少数股东权益占比,市盈率（PE）1,资产负债率,市值A,托宾Q值A,账面市值比A,资产报酬率A,净资产收益率（ROE）A
4,000001,1.2946627,-0.7775534,-1.2709956,-1.2976557,-0.6924151,-1.4777247,-0.18520844,-0.33014303,2.3230681,4.379345,-0.73308307,1.4217898,-0.3753506,0.13256545
4,000002,3.3247776,-0.7061524,-1.2089155,-1.2059238,-0.6086361,-0.18866692,1.2083498,-0.32634947,1.4463451,0.8585278,-0.8294438,1.9587578,-0.7372224,-0.10347091
6,000004,-0.15186444,0.13323066,2.5735128,-1.2770357,-0.13670778,-1.0851687,-0.2576931,-0.37084353,0.840408,-0.068671286,3.617179,-2.0124283,-2.8659828,-0.47175422
4,000006,-0.07671133,-0.16545337,-1.2514122,-1.2878782,-0.7100053,0.40099636,0.012097929,-0.37084353,1.2154745,-0.05300866,-0.66412944,1.1081818,-1.0080122,-0.19626088
6,000007,-0.15062556,1.67115,-0.8420897,-0.38422492,-0.707361,0.5942829,0.10050058,0.06457626,0.7809908,-0.068666674,4.4479513,-2.1030083,-0.35634553,0.0015724149
4,000008,-0.13583115,-0.83413815,0.6176182,-1.0038213,-0.43390077,0.791521,-0.09734518,-0.37084353,1.1883181,-0.0596136,-0.44020796,0.35534394,-0.70149636,-0.1305913
7,000009,0.07842705,-0.046873115,-0.41900226,0.18140906,-0.14537968,1.172563,1.7809732,-0.26579693,0.830443,-0.025346003,-0.64141273,1.015139,0.046768527,0.059917208
0,000010,-0.14746904,-1.1760067,3.1639953,-1.2898053,-0.6999209,-1.3425266,-0.4714457,-0.37084353,2.4098535,-0.06720146,-0.3951063,0.23862691,-0.9095823,-0.8528337
4,000011,-0.13222244,-0.57863015,-0.9658467,-1.2847446,-0.70933187,0.37451184,-0.15895623,-0.27737683,1.4277177,-0.05672489,-0.6450538,1.0297438,-0.52577496,-0.02302507
7,000012,0.03414659,-0.38006088,-0.3982345,1.5494697,0.521929,0.667049,-0.06440065,-0.28760147,0.6181768,-0.04516949,-0.71130615,1.3172616,0.07868065,0.07987737
2,000014,-0.14792266,0.34463558,-1.2588096,-1.2487204,-0.7100053,-1.4559162,-0.073466346,-0.32968202,-0.793642,-0.06790283,-0.30414987,0.028679324,0.022936791,0.031264905
4,000016,-0.024639666,-0.4577575,-0.7146941,-0.2597504,-0.1898724,1.4566467,-0.008804887,-0.37084353,2.1155105,-0.042891398,-0.65251225,1.0600206,-1.475403,-0.85196936
