k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30,k = 31,k = 32,k = 33,k = 34,k = 35,k = 36,k = 37,k = 38,k = 39,k = 40
74494.0,66243.68359375,62220.9453125,58883.7822265625,53644.470703125,49976.623046875,47076.7001953125,45782.023193359375,42167.153747558594,37431.251708984375,39883.304748535156,34831.321838378906,33840.49237060547,33147.31115722656,32542.37481689453,31432.270141601562,29517.636344909668,30453.593017578125,29973.8818359375,27231.727714538574,27840.168632507324,26433.49990081787,25998.110038757324,26380.139373779297,25420.005393981934,24977.877555847168,24373.68549346924,24342.213188171387,22481.415184020996,23594.938957214355,23531.17485809326,23099.461265563965,21343.57918548584,22799.413719177246,22482.29744720459,20616.74929046631,22012.48494720459,20383.56108856201,20200.184928894043,20067.45273590088
74494.0,66243.68359375,62221.08984375,55561.4736328125,56165.4052734375,51562.6015625,48815.09313964844,42404.20068359375,43933.20880126953,37432.284912109375,41273.13751220703,34831.55145263672,33863.198303222656,31899.633056640625,31280.844970703125,31950.882934570312,31419.56753540039,30482.877990722656,28683.503105163574,28231.954093933105,29180.602783203125,27738.595024108887,26200.358192443848,25827.218620300293,25315.544273376465,23750.378044128418,24752.869834899902,26527.389862060547,23817.98833465576,23939.912269592285,21778.4340133667,23018.766410827637,22872.120475769043,21064.49324798584,22505.17165374756,22328.578468322754,20413.969230651855,21874.195945739746,19954.33861541748,21521.74892425537
74494.0,66243.68359375,59576.90625,55561.4736328125,53644.4150390625,51692.9765625,48659.422607421875,45235.697998046875,43813.936767578125,37431.251708984375,36082.708984375,34954.794982910156,33862.50225830078,33150.14904785156,32504.41668701172,29950.958793640137,30888.184448242188,28634.59090423584,28534.394187927246,27246.4603805542,27873.107109069824,27441.590324401855,26060.77382659912,25969.151664733887,26629.179985046387,23418.761741638184,24454.95156097412,24289.7123336792,24216.400505065918,23555.92534637451,23353.41414642334,23163.898139953613,22849.11968231201,22758.31145477295,22737.431144714355,20643.779090881348,20465.301445007324,20314.825798034668,21764.063804626465,21287.766304016113
74494.0,66243.68359375,62220.9453125,59125.5029296875,52461.4990234375,51702.46826171875,47892.277587890625,45234.539306640625,43805.27178955078,38129.281005859375,36123.94421386719,34830.88946533203,33870.03552246094,33163.05822753906,32506.714721679688,31958.430725097656,31035.21563720703,29041.541130065918,28689.25853729248,28222.1449508667,29137.428436279297,27470.653190612793,26189.24565887451,25394.94051361084,25043.73397064209,27334.822204589844,25156.111015319824,25188.153526306152,23779.855491638184,23783.281211853027,24056.772148132324,23228.86968231201,22995.538078308105,22754.834129333496,20886.225547790527,22370.01326751709,22191.447471618652,20259.960594177246,21857.345207214355,19967.675407409668
74494.0,66243.68359375,62224.1171875,59083.51281738281,53645.16796875,51002.687744140625,48118.9794921875,43600.55099487305,43878.076416015625,38936.08203125,37662.558349609375,35062.579162597656,34134.99304199219,33145.803649902344,32492.962829589844,31945.18389892578,31299.92449951172,28880.71215057373,28600.082389831543,28269.223014831543,27828.771171569824,26498.95729827881,26197.13158416748,25540.3119430542,25630.490409851074,25089.08553314209,25171.904472351074,24165.611961364746,24179.60732269287,23672.42095184326,23312.807456970215,23195.91103363037,23113.52904510498,22872.4105758667,20794.814445495605,22201.448387145996,22965.67645263672,21938.048637390137,21937.49959564209,21321.156578063965
74494.0,66243.68359375,60736.416015625,58886.84765625,56147.06396484375,50934.38330078125,48613.12060546875,45849.814453125,40332.117431640625,42550.14581298828,36074.369689941406,35056.50891113281,33848.36865234375,33152.79376220703,32511.515075683594,30177.614463806152,31303.57489013672,30462.138244628906,30060.883056640625,29570.281127929688,29215.091430664062,26506.50383758545,26446.140830993652,25834.696586608887,23981.209587097168,24703.013389587402,24514.997566223145,24416.697135925293,23822.31862640381,21888.08895111084,23490.10604095459,21902.831199645996,23108.73299407959,22791.837882995605,22589.256492614746,20616.396598815918,22360.038078308105,21966.989616394043,21699.73752593994,20125.515251159668
74494.0,66243.68359375,60876.6005859375,59124.99609375,52463.0107421875,51535.72412109375,48788.171630859375,42111.37158203125,43804.735900878906,42551.862365722656,38182.155334472656,34831.53338623047,34168.59143066406,33229.12805175781,32529.949829101562,31958.802612304688,31011.64794921875,29146.586936950684,30073.24090576172,28273.77043914795,28298.959838867188,26766.73394012451,26917.03490447998,27821.5,26161.53130340576,25162.866813659668,24705.02138519287,24079.79744720459,22514.408348083496,22302.85585784912,21677.283317565918,23586.399864196777,21167.128746032715,22813.38210296631,20874.280448913574,22459.053398132324,22213.836601257324,21899.6351852417,20108.009651184082,21616.54174041748
74494.0,66243.68359375,62224.009765625,59124.99609375,53783.76953125,49977.423828125,48387.12548828125,44694.2421875,40429.423828125,37432.8564453125,36123.69567871094,34831.51483154297,33862.788513183594,33183.988220214844,32054.985107421875,31949.065185546875,29519.2719039917,30387.11785888672,27772.193534851074,28821.753784179688,27662.519676208496,28521.256744384766,24543.957633972168,25826.622764587402,25289.785179138184,25884.332427978516,24674.548301696777,26631.509063720703,24499.281852722168,21955.754356384277,23373.452476501465,21953.468742370605,21447.164176940918,21227.260093688965,22686.598136901855,20658.688117980957,22277.827629089355,20253.773460388184,19945.65044403076,19993.64461517334
74494.0,66243.68359375,62224.12890625,59028.201171875,56183.80712890625,50802.68408203125,48965.7734375,45724.129638671875,43930.264892578125,38919.544189453125,39968.5927734375,34831.40655517578,33862.93328857422,33151.2624206543,32502.552001953125,31954.281127929688,31312.336486816406,29028.76976776123,29874.906646728516,28449.711570739746,27756.693962097168,26328.45140838623,28137.260955810547,25532.87914276123,25253.94814300537,24728.80898284912,24439.92372894287,24332.982597351074,23912.800498962402,24431.689331054688,21698.33278656006,22155.320976257324,21284.048027038574,22646.998680114746,22617.639488220215,20778.71263885498,21998.360832214355,20471.791343688965,21901.739891052246,20015.94264984131
74494.0,66243.68359375,61004.8876953125,56725.7939453125,53918.484375,49976.546875,48797.921630859375,45198.818115234375,39217.677978515625,42550.12481689453,36082.23419189453,35087.65057373047,34172.86926269531,33145.74426269531,32588.957641601562,31960.07403564453,31450.919067382812,29061.2162399292,27129.94438934326,28273.606742858887,26838.575309753418,27356.784606933594,25331.877922058105,25667.36598968506,23736.35799407959,23308.734092712402,24386.540977478027,24065.074394226074,22209.344444274902,22148.6635055542,23246.40273284912,23116.148551940918,22902.961875915527,22790.712211608887,22559.517082214355,21123.622581481934,21949.75397491455,22081.478843688965,21797.103721618652,19845.93480682373
