Time,Opening,Highest,Lowest,Closing,Change,Pct_Change,Trading_Volume,Trading_Amount
1990-12-19,96.05,99.98,95.79,99.98,--,--,126000.0,494000.0
1990-12-20,104.3,104.39,99.98,104.39,4.41,4.4109,19700.0,84000.0
1990-12-21,109.07,109.13,103.73,109.13,4.74,4.5407,2800.0,16000.0
1990-12-24,113.57,114.55,109.13,114.55,5.42,4.9666,3200.0,31000.0
1990-12-25,120.09,120.25,114.55,120.25,5.7,4.976,1500.0,6000.0
1990-12-26,125.27,125.27,120.25,125.27,5.02,4.1746,10000.0,53000.0
1990-12-27,125.27,125.28,125.27,125.28,0.01,0.008,6600.0,104000.0
1990-12-28,126.39,126.45,125.28,126.45,1.17,0.9339,10800.0,88000.0
1990-12-31,126.56,127.61,126.48,127.61,1.16,0.9174,7800.0,60000.0
1991-01-02,127.61,128.84,127.61,128.84,1.23,0.9639,9100.0,59000.0
1991-01-03,128.84,130.14,128.84,130.14,1.3,1.009,14100.0,93000.0
1991-01-04,131.27,131.44,130.14,131.44,1.3,0.9989,42000.0,261000.0
1991-01-07,131.99,132.06,131.45,132.06,0.62,0.4717,21700.0,141000.0
1991-01-08,132.62,132.68,132.06,132.68,0.62,0.4695,292600.0,1806000.0
1991-01-09,133.3,133.34,132.68,133.34,0.66,0.4974,560300.0,3228000.0
1991-01-10,133.93,133.97,133.34,133.97,0.63,0.4725,999000.0,5399000.0
1991-01-11,134.61,134.61,134.51,134.6,0.63,0.4703,1332700.0,7115000.0
1991-01-14,134.11,135.19,134.11,134.67,0.07,0.052,1253000.0,6883000.0
1991-01-15,134.21,134.74,134.19,134.74,0.07,0.052,144600.0,1010000.0
1991-01-16,134.19,134.74,134.14,134.24,-0.5,-0.3711,50900.0,270000.0
1991-01-17,133.67,134.25,133.65,134.25,0.01,0.0074,65800.0,334000.0
1991-01-18,133.7,134.25,133.67,134.24,-0.01,-0.0074,300400.0,1570000.0
1991-01-21,133.7,134.24,133.66,134.24,0,0,205100.0,1029000.0
