ID,证券简称,Labels
000001,平安银行,0
000002,万科A,0
000004,国华网安,1
000006,深振业A,0
000007,全新好,1
000008,神州高铁,7
000009,中国宝安,4
000010,美丽生态,7
000011,深物业A,0
000012,南玻A,4
000014,沙河股份,2
000016,深康佳A,0
000017,深中华A,1
000019,深粮控股,4
000020,深华发A,1
000021,深科技,4
000025,特力A,2
000026,飞亚达,2
000027,深圳能源,4
000028,国药一致,7
000029,深深房A,2
000030,富奥股份,0
000031,大悦城,0
000032,深桑达A,0
000034,神州数码,0
000035,中国天楹,6
000036,华联控股,0
000037,深南电A,4
000039,中集集团,0
000040,ST 旭蓝,0
000042,中洲控股,0
000045,深纺织A,4
000048,京基智农,4
000049,德赛电池,7
000050,深天马A,4
000055,方大集团,0
000056,皇庭国际,0
000058,深赛格,2
000059,华锦股份,4
000060,中金岭南,4
000061,农产品,0
000062,深圳华强,7
000063,中兴通讯,0
000065,北方国际,0
000066,中国长城,7
000068,华控赛格,0
000069,华侨城A,0
000070,ST 特信,7
000078,海王生物,7
000088,盐田港,4
000089,深圳机场,4
000090,天健集团,0
000096,广聚能源,3
000099,中信海直,2
000100,TCL科技,4
000151,中成股份,3
000153,丰原药业,7
000155,川能动力,4
000156,华数传媒,4
000157,中联重科,0
000158,常山北明,7
000159,国际实业,7
000166,申万宏源,0
000301,东方盛虹,4
000333,美的集团,0
000338,潍柴动力,0
000400,许继电气,7
000401,冀东水泥,4
000402,金融街,0
000403,派林生物,2
000404,长虹华意,0
000407,胜利股份,4
000408,藏格矿业,2
000409,云鼎科技,3
000410,沈阳机床,1
000411,英特集团,7
000415,渤海租赁,4
000417,合百集团,0
000419,通程控股,0
000420,吉林化纤,4
000421,南京公用,0
000422,湖北宜化,4
000423,东阿阿胶,3
000425,徐工机械,7
000426,兴业银锡,6
000428,华天酒店,4
000429,粤高速A,4
000430,张家界,4
000488,晨鸣纸业,4
000498,山东路桥,0
000501,武商集团,4
000503,国新健康,1
000504,南华生物,1
000505,京粮控股,4
000506,*ST 中润,6
000507,珠海港,4
000509,华塑控股,1
000510,新金路,4
000513,丽珠集团,3
000514,渝开发,0
000516,国际医学,4
000517,荣安地产,0
000518,四环生物,1
000519,中兵红箭,3
000520,凤凰航运,1
000521,长虹美菱,0
000523,红棉股份,3
000524,岭南控股,3
000525,*ST 红阳,4
000526,学大教育,2
000528,柳工,0
000529,广弘控股,0
000530,冰山冷热,7
000531,穗恒运A,4
000532,华金资本,2
000533,顺钠股份,7
000534,万泽股份,4
000536,华映科技,4
000537,中绿电,4
000538,云南白药,3
000539,粤电力A,4
000541,佛山照明,0
000543,皖能电力,4
000544,中原环保,6
000545,金浦钛业,4
000546,金圆股份,6
000547,航天发展,7
000548,湖南投资,3
